Ticket_ID,Ticket_Date,Customer_ID,Department,Agent_Name,Category,Sub_Category,Priority,Status,Resolution_Time_Hours,SLA_Target_Hours,SLA_Status,Customer_Satisfaction,Reopened,Channel,Root_Cause,Month,Year
TKT048923,2024-04-01,CUST04844,Sales,Simran Kaur,Network,VPN,High,Open,10.14,8,Breached,3.4,No,Portal,Unknown,Apr 2024,2024
TKT015166,2024-04-01,CUST00603,IT,Anjali Verma,Hardware,Printer,Low,Resolved,2.52,8,Met,4.9,No,Email,Software Bug,Apr 2024,2024
TKT047638,2024-04-01,CUST00149,Sales,Neha Gupta,Network,VPN,Low,Open,0.87,8,Met,4.4,No,Email,User Error,Apr 2024,2024
TKT013957,2024-04-01,CUST00064,HR,Priya Patel,Network,Slow Network,Low,Open,3.0,8,Met,4.3,No,Portal,Access Issue,Apr 2024,2024
TKT040080,2024-04-01,CUST01813,HR,Rohan Kapoor,Hardware,Monitor,High,Resolved,8.86,8,Breached,2.7,No,Portal,Software Bug,Apr 2024,2024
TKT022934,2024-04-01,CUST04885,IT,Saurabh Yadav,Application Support,CRM Support,Medium,Resolved,9.1,12,Met,4.9,No,Phone,Configuration Error,Apr 2024,2024
TKT037689,2024-04-01,CUST03757,Others,Karan Mehta,Network,VPN,Medium,Resolved,5.36,12,Met,4.3,No,Phone,Access Issue,Apr 2024,2024
TKT030201,2024-04-01,CUST00405,Operations,Simran Kaur,Network,Wi-Fi,Medium,Resolved,2.36,12,Met,4.6,No,Phone,Configuration Error,Apr 2024,2024
TKT002071,2024-04-01,CUST04324,Finance,Rahul Joshi,Hardware,Laptop/Desktop,Medium,Resolved,1.92,12,Met,4.3,No,Phone,Network Issue,Apr 2024,2024
TKT022931,2024-04-01,CUST03856,Others,Neha Gupta,Hardware,Peripheral,Low,Resolved,1.07,8,Met,5.0,No,Portal,Software Bug,Apr 2024,2024
TKT025951,2024-04-01,CUST01571,Others,Sneha Desai,Access & Permissions,Permission Change,High,Resolved,4.89,8,Met,4.5,No,Email,Hardware Failure,Apr 2024,2024
TKT014149,2024-04-01,CUST04817,IT,Karan Mehta,Software,Application Error,Medium,In Progress,3.6,12,Met,5.0,No,Phone,Unknown,Apr 2024,2024
TKT011260,2024-04-01,CUST02452,HR,Riya Kulkarni,Software,Application Error,High,Resolved,6.73,8,Met,3.7,No,Portal,Network Issue,Apr 2024,2024
TKT032690,2024-04-01,CUST03607,HR,Rohan Kapoor,Access & Permissions,Account Lock,Medium,Resolved,1.53,12,Met,4.4,No,Portal,User Error,Apr 2024,2024
TKT006667,2024-04-01,CUST04693,Others,Meera Iyer,Application Support,ERP Support,Low,Pending,1.05,8,Met,4.7,No,Email,Software Bug,Apr 2024,2024
TKT003276,2024-04-01,CUST04299,IT,Karan Mehta,Hardware,Peripheral,Medium,Resolved,2.49,12,Met,4.9,No,Chat,Software Bug,Apr 2024,2024
TKT037099,2024-04-01,CUST00565,Sales,Riya Kulkarni,Network,Wi-Fi,Medium,Resolved,1.65,12,Met,4.1,No,Portal,Configuration Error,Apr 2024,2024
TKT040099,2024-04-01,CUST02882,Marketing,Amit Singh,Software,License Issue,Low,Resolved,1.26,8,Met,4.2,No,Email,User Error,Apr 2024,2024
TKT021505,2024-04-01,CUST01204,Finance,Vikram Rao,Application Support,ERP Support,High,Resolved,11.48,8,Breached,3.8,No,Email,Network Issue,Apr 2024,2024
TKT044314,2024-04-01,CUST04550,Marketing,Kavya Reddy,Application Support,ERP Support,Medium,Resolved,3.44,12,Met,3.9,No,Email,Hardware Failure,Apr 2024,2024
TKT044368,2024-04-01,CUST00427,Marketing,Riya Kulkarni,Application Support,ERP Support,Low,Pending,2.15,8,Met,4.7,Yes,Portal,Network Issue,Apr 2024,2024
TKT020382,2024-04-01,CUST04420,Finance,Sneha Desai,Software,Application Error,Medium,Resolved,5.55,12,Breached,3.4,No,Chat,Access Issue,Apr 2024,2024
TKT042453,2024-04-01,CUST01375,Others,Meera Iyer,Access & Permissions,Password Reset,Medium,Resolved,5.6,12,Met,3.3,No,Phone,Software Bug,Apr 2024,2024
TKT023141,2024-04-01,CUST03250,IT,Amit Singh,Network,Slow Network,Medium,Resolved,2.56,12,Met,4.4,No,Email,User Error,Apr 2024,2024
TKT042393,2024-04-01,CUST00531,IT,Aarav Sharma,Software,Application Error,Medium,Resolved,8.82,12,Met,4.2,No,Portal,Hardware Failure,Apr 2024,2024
TKT002011,2024-04-01,CUST03233,Finance,Vikram Rao,Network,Wi-Fi,Low,Resolved,1.27,8,Met,4.1,No,Portal,Network Issue,Apr 2024,2024
TKT042375,2024-04-01,CUST02763,Marketing,Neha Gupta,Software,Update/Upgrade,Critical,Resolved,10.62,4,Breached,3.2,Yes,Email,Access Issue,Apr 2024,2024
TKT028379,2024-04-01,CUST01764,Finance,Amit Singh,Application Support,Email Support,High,Pending,13.93,8,Breached,3.0,No,Portal,Software Bug,Apr 2024,2024
TKT020392,2024-04-01,CUST03144,HR,Arjun Shah,Application Support,CRM Support,Low,Resolved,2.68,8,Met,4.8,No,Portal,Unknown,Apr 2024,2024
TKT049180,2024-04-01,CUST04162,IT,Pooja Nair,Hardware,Peripheral,Medium,Resolved,1.98,12,Met,4.1,No,Email,Network Issue,Apr 2024,2024
TKT017439,2024-04-01,CUST03010,IT,Sneha Desai,Hardware,Laptop/Desktop,Critical,Pending,40.36,4,Breached,2.4,No,Portal,Software Bug,Apr 2024,2024
TKT044588,2024-04-01,CUST02033,HR,Amit Singh,Network,Slow Network,Low,Resolved,2.79,8,Met,4.4,No,Email,Access Issue,Apr 2024,2024
TKT000992,2024-04-01,CUST00101,Finance,Arjun Shah,Hardware,Laptop/Desktop,Critical,Resolved,19.26,4,Breached,2.7,No,Email,Hardware Failure,Apr 2024,2024
TKT038846,2024-04-01,CUST04443,IT,Saurabh Yadav,Network,Connectivity,Medium,Resolved,20.63,12,Breached,2.4,No,Phone,Network Issue,Apr 2024,2024
TKT030987,2024-04-01,CUST00555,Marketing,Kavya Reddy,Hardware,Monitor,Critical,Resolved,15.23,4,Breached,3.4,No,Chat,User Error,Apr 2024,2024
TKT046875,2024-04-01,CUST03110,IT,Vikram Rao,Software,License Issue,Low,Resolved,1.41,8,Met,4.9,No,Portal,Configuration Error,Apr 2024,2024
TKT025598,2024-04-01,CUST01586,Finance,Riya Kulkarni,Access & Permissions,Role Access,Low,Resolved,3.18,8,Met,4.5,No,Portal,User Error,Apr 2024,2024
TKT046550,2024-04-01,CUST03239,Finance,Arjun Shah,Software,Update/Upgrade,Low,Resolved,2.9,8,Met,3.2,No,Phone,Access Issue,Apr 2024,2024
TKT032315,2024-04-01,CUST03424,Others,Riya Kulkarni,Hardware,Laptop/Desktop,Low,Open,2.83,8,Met,4.1,Yes,Phone,Configuration Error,Apr 2024,2024
TKT001165,2024-04-01,CUST04849,Sales,Meera Iyer,Network,Slow Network,Medium,In Progress,8.88,12,Met,4.4,No,Email,Software Bug,Apr 2024,2024
TKT017785,2024-04-01,CUST01667,HR,Aarav Sharma,Software,Update/Upgrade,Low,Resolved,6.15,8,Met,3.3,No,Phone,User Error,Apr 2024,2024
TKT035876,2024-04-01,CUST00276,Others,Anjali Verma,Application Support,CRM Support,Low,Resolved,1.12,8,Met,4.0,No,Chat,Configuration Error,Apr 2024,2024
TKT018005,2024-04-01,CUST02036,Others,Neha Gupta,Application Support,ERP Support,Low,Resolved,1.81,8,Breached,3.9,No,Portal,User Error,Apr 2024,2024
TKT041542,2024-04-01,CUST02599,Sales,Sneha Desai,Hardware,Laptop/Desktop,Low,In Progress,2.23,8,Met,4.5,No,Email,Configuration Error,Apr 2024,2024
